Price,Close,High,Low,Open,Volume
Ticker,ADS.DE,ADS.DE,ADS.DE,ADS.DE,ADS.DE
Date,,,,,
2026-01-02,164.31631469726562,167.85000500422672,163.67829435353687,166.5739493390626,384635
2026-01-05,166.770263671875,168.14448323841745,162.89302967407508,165.83776663104314,558052
2026-01-06,160.73355102539062,161.02802770219972,154.10789319686307,160.68446908297145,1999082
2026-01-07,157.98512268066406,161.8623563823644,155.62933928608058,161.32249996364712,895805
2026-01-08,162.3531494140625,163.18749749761386,155.04038936384595,156.70907055324278,997068
2026-01-09,163.5801239013672,166.4757937484148,161.76421185408117,163.1384163751466,661588
2026-01-12,162.59854125976562,165.39604715827267,162.05868483874286,163.92367878594382,421897
2026-01-13,159.75196838378906,163.62920210171012,159.75196838378906,162.54947428205287,596528
2026-01-14,157.19985961914062,162.05868730390037,156.26736263135547,160.78263169959686,667427
2026-01-15,159.35934448242188,162.25499931595033,158.13237082603646,160.73354898649126,595382
2026-01-16,156.9053955078125,159.50657364071733,156.561836896581,159.4574916994406,531609
2026-01-19,148.75828552246094,153.76432893364233,148.75828552246094,152.8809139133472,1018920
2026-01-20,150.18157958984375,150.96684574663908,147.67855026780512,148.51289836772006,572604
2026-01-21,149.64170837402344,151.4085534847842,148.31658577423252,149.9361850554346,494619
2026-01-22,149.64170837402344,153.71527001518106,149.10183695438735,153.12631665235875,822758
2026-01-23,141.1019744873047,147.72763241975204,139.92408273929973,147.23684294327447,1679325
2026-01-26,144.24302673339844,144.5865853641893,141.3473717656844,141.3473717656844,532166
2026-01-27,144.3411865234375,146.30434440889002,142.37802863798498,145.22460158080872,635477
2026-01-28,141.88723754882812,144.7828924013132,141.88723754882812,143.3105240040117,501467
2026-01-29,140.85658264160156,144.88106242244422,140.80750069740466,143.3105300743821,550894
2026-01-30,146.40249633789062,149.6417099112771,145.5190812622881,147.72763392900075,1274886
2026-02-02,147.3840789794922,150.7214565235585,146.8442225185419,146.94237143066619,694808
2026-02-03,146.25526428222656,148.90552446495386,144.7338139065682,148.2184221920551,720016
2026-02-04,149.1509246826172,150.47606231151175,147.08961778820054,147.08961778820054,529047
2026-02-05,149.05276489257812,151.06498969505677,147.08960705390186,149.9852618704082,567453
2026-02-06,150.0343475341797,150.2306603273766,145.96078593124037,148.0221077040729,489680
2026-02-09,150.77053833007812,151.31039479053285,150.03435409014162,150.18158494704625,405707
2026-02-10,153.0281524658203,154.30420809762822,151.75211181171858,152.3410501956795,493574
2026-02-11,150.9668426513672,154.8931583771364,150.9668426513672,152.29196522219078,612664
2026-02-12,150.72145080566406,152.93000344371535,150.18157938748806,150.18157938748806,547296
2026-02-13,152.0956573486328,152.93000545841525,150.13249942228012,150.2306633096803,592744
2026-02-16,151.2122344970703,152.78275177076796,151.2122344970703,152.19381340977094,358746
2026-02-17,153.56802368164062,153.8134184190602,150.42697403821106,150.42697403821106,420952
2026-02-18,154.156982421875,154.54960802436466,151.9484297080307,153.56802904043386,490260
2026-02-19,152.39013671875,155.28579171561003,152.39013671875,153.6171104443438,506507
2026-02-20,155.77658081054688,158.0342154554518,152.43921827648333,152.88092582103488,779519
2026-02-23,155.6784210205078,157.9360405299429,154.69684211111672,155.1385496248016,711587
2026-02-24,157.2489471435547,159.50658175782206,155.18764030438513,155.18764030438513,671930
2026-02-25,155.58026123046875,158.86855665449795,154.99130787826158,158.32868524459235,564134
2026-02-26,159.50657653808594,160.63538631942697,155.82565554105318,155.92381942538975,602345
2026-02-27,155.28578186035156,160.340922275596,154.74591045981208,159.40841032116157,1259366
2026-03-02,148.56198120117188,152.24290229161016,147.58040224372166,148.80737594053443,954135
2026-03-03,144.39027404785156,147.9730313362197,142.81974168769463,146.84422149953016,1285406
2026-03-04,139.18789672851562,144.09579142996043,132.36592608904857,143.3596072247437,2953474
2026-03-05,142.42710876464844,146.35342448549108,137.1756554969391,137.61736301999272,1499845
2026-03-06,140.07131958007812,146.05895744019574,139.23698642101704,142.819743761406,1014497
2026-03-09,137.12657165527344,138.35354530103947,133.69104544712846,138.35354530103947,891300
2026-03-10,139.2369842529297,140.1203993435225,134.9671097004157,139.6296098537028,984891
2026-03-11,137.4701385498047,139.3842145569825,136.43947762972232,137.4210566054757,619021
2026-03-12,138.59893798828125,138.8443327138192,135.26157571204757,136.43946739908856,879119
2026-03-13,136.34130859375,138.15723562141943,134.91802212818243,136.6357852708999,704459
2026-03-16,138.4517059326172,138.4517059326172,133.691042307754,136.63577898844332,644458
2026-03-17,138.010009765625,140.02223468059927,136.34131352729534,137.86276393286894,843742
2026-03-18,135.50697326660156,139.1878942265181,134.42723046061042,138.10815142052695,785210
2026-03-19,130.79539489746094,133.93644453735592,128.97946785151692,133.29842421186538,1228813
2026-03-20,131.04078674316406,133.69104685029365,129.37210556294957,131.97328372819223,2153204
2026-03-23,130.79539489746094,136.43947385176037,127.55618137162612,128.48867837723003,991410
2026-03-24,129.7156524658203,132.12053287946017,129.0776321383482,131.38434866574337,598367
2026-03-25,130.20643615722656,133.39656760827822,129.8628925260443,131.48249173318834,663789
2026-03-26,131.62974548339844,133.69105232775047,128.78315749209364,129.22486503176148,532712
2026-03-27,129.6175079345703,131.3352711579198,129.42119513315743,131.3352711579198,428896
2026-03-30,131.18801879882812,131.18801879882812,128.09605114166345,129.12671201995366,501577
2026-03-31,134.13275146484375,134.62354091766457,131.13894778480122,131.72788614156292,664260
2026-04-01,134.37815856933594,139.67869413467633,133.2493487149513,139.62961218933205,890315
2026-04-02,132.4149932861328,133.69104890628765,130.10829175903177,132.21868049327193,0
2026-04-07,128.43960571289062,134.32907914300793,128.04696516425952,133.49473108265914,755852
2026-04-08,135.0161895751953,137.61736784028204,133.7892158694551,136.09591744962287,997989
2026-04-09,134.476318359375,134.86894395474317,132.46407848327374,134.52540030322263,543768
2026-04-10,135.26158142089844,137.56828295168836,134.81987389182854,135.40881227135304,660157
2026-04-13,133.49473571777344,134.2309199220994,132.7585515134475,133.74013045254875,459207
2026-04-14,135.35972595214844,135.75236650350922,133.49473201072786,134.03460340778292,637277
2026-04-15,137.42105102539062,137.42105102539062,134.03460669209184,134.81987283634953,468228
2026-04-16,139.2369842529297,139.43329705331624,137.66645189442403,137.96092858385717,449603
2026-04-17,143.70315551757812,145.27368786394663,138.9425064897416,139.38421403162445,829473
2026-04-20,142.1817169189453,142.7215733593577,140.1694770756159,140.6602665506862,435602
2026-04-21,142.37803649902344,144.19394865670432,141.83816505517515,142.52526735747892,408292
2026-04-22,138.9425048828125,141.83815982134013,138.10815677513386,141.7890778777638,535616
2026-04-23,135.55606079101562,138.59894658990805,135.26158410655344,138.30446990544587,528187
2026-04-24,133.74012756347656,135.40880872836047,132.46407197466925,133.4947328340023,537629
2026-04-27,135.26158142089844,136.63578595082836,134.08368968414337,134.08368968414337,463801
2026-04-28,135.26158142089844,135.9977656285836,134.23092053459797,135.50697615679348,428538
2026-04-29,146.54974365234375,147.72763542430522,142.72157667133587,145.66631359009278,1526535
2026-04-30,144.6847381591797,146.74606004385504,143.0651388052968,145.02829679919455,841505
2026-05-04,138.6480255126953,145.6663089546449,138.5498616274446,145.6663089546449,758398
2026-05-05,140.02223205566406,140.70934930689828,138.01000717841208,138.45171471298676,619715
2026-05-06,145.51907348632812,147.8257899171599,140.46394808817197,142.13262924053478,728372
2026-05-07,149.1999969482422,150.3778886654503,146.50065489819175,147.13867520984863,1011877
2026-05-08,146.85000610351562,150.1999969482422,146.85000610351562,149.0,560555
2026-05-11,141.6999969482422,145.85000610351562,140.75,145.14999389648438,740552
2026-05-12,142.0,144.1999969482422,139.89999389648438,141.0500030517578,700360
2026-05-13,144.0,145.5,139.75,141.14999389648438,569482
2026-05-14,146.8000030517578,147.14999389648438,143.35000610351562,144.89999389648438,392119
2026-05-15,145.6999969482422,146.5,142.8000030517578,144.6999969482422,457343
2026-05-18,147.3000030517578,149.60000610351562,143.0,144.14999389648438,717278
2026-05-19,146.75,148.8000030517578,146.10000610351562,147.8000030517578,611299
2026-05-20,148.1999969482422,149.25,144.1999969482422,145.0,468371
2026-05-21,150.0,151.60000610351562,147.8000030517578,148.8000030517578,592165
2026-05-22,154.5,157.4499969482422,151.5,154.8000030517578,738267
2026-05-25,157.85000610351562,159.0,155.3000030517578,155.9499969482422,414561
2026-05-26,157.1999969482422,157.64999389648438,155.10000610351562,157.5500030517578,390133
2026-05-27,165.64999389648438,168.9499969482422,159.0,159.0,1196927
2026-05-28,167.14999389648438,170.10000610351562,166.14999389648438,166.4499969482422,818569
2026-05-29,166.60000610351562,170.3000030517578,166.60000610351562,170.0,1645971
2026-06-01,165.0,168.0,163.1999969482422,167.39999389648438,596130
2026-06-02,166.85000610351562,169.1999969482422,165.39999389648438,166.75,606438
2026-06-03,161.60000610351562,166.39999389648438,161.60000610351562,165.6999969482422,553769
2026-06-04,160.5500030517578,163.5,160.0500030517578,162.1999969482422,442622
2026-06-05,161.4499969482422,164.60000610351562,160.6999969482422,160.6999969482422,459153
2026-06-08,164.5500030517578,166.35000610351562,158.4499969482422,159.35000610351562,565860
2026-06-09,167.35000610351562,169.6999969482422,164.10000610351562,164.35000610351562,630172
