Date,Close,High,Low,Open,Volume,MA20,MA50,Signal,Position,Action
2026-01-02,164.31631469726562,167.85000500422672,163.67829435353687,166.5739493390626,384635,,,0,,Утримання
2026-01-05,166.770263671875,168.14448323841745,162.89302967407508,165.83776663104314,558052,,,0,0.0,Утримання
2026-01-06,160.73355102539062,161.02802770219972,154.10789319686307,160.68446908297145,1999082,,,0,0.0,Утримання
2026-01-07,157.98512268066406,161.8623563823644,155.62933928608058,161.32249996364712,895805,,,0,0.0,Утримання
2026-01-08,162.3531494140625,163.18749749761386,155.04038936384595,156.70907055324278,997068,,,0,0.0,Утримання
2026-01-09,163.5801239013672,166.4757937484148,161.76421185408117,163.1384163751466,661588,,,0,0.0,Утримання
2026-01-12,162.59854125976562,165.39604715827267,162.05868483874286,163.92367878594382,421897,,,0,0.0,Утримання
2026-01-13,159.75196838378906,163.62920210171012,159.75196838378906,162.54947428205287,596528,,,0,0.0,Утримання
2026-01-14,157.19985961914062,162.05868730390037,156.26736263135547,160.78263169959686,667427,,,0,0.0,Утримання
2026-01-15,159.35934448242188,162.25499931595033,158.13237082603646,160.73354898649126,595382,,,0,0.0,Утримання
2026-01-16,156.9053955078125,159.50657364071733,156.561836896581,159.4574916994406,531609,,,0,0.0,Утримання
2026-01-19,148.75828552246094,153.76432893364233,148.75828552246094,152.8809139133472,1018920,,,0,0.0,Утримання
2026-01-20,150.18157958984375,150.96684574663908,147.67855026780512,148.51289836772006,572604,,,0,0.0,Утримання
2026-01-21,149.64170837402344,151.4085534847842,148.31658577423252,149.9361850554346,494619,,,0,0.0,Утримання
2026-01-22,149.64170837402344,153.71527001518106,149.10183695438735,153.12631665235875,822758,,,0,0.0,Утримання
2026-01-23,141.1019744873047,147.72763241975204,139.92408273929973,147.23684294327447,1679325,,,0,0.0,Утримання
2026-01-26,144.24302673339844,144.5865853641893,141.3473717656844,141.3473717656844,532166,,,0,0.0,Утримання
2026-01-27,144.3411865234375,146.30434440889002,142.37802863798498,145.22460158080872,635477,,,0,0.0,Утримання
2026-01-28,141.88723754882812,144.7828924013132,141.88723754882812,143.3105240040117,501467,,,0,0.0,Утримання
2026-01-29,140.85658264160156,144.88106242244422,140.80750069740466,143.3105300743821,550894,154.11034622192383,,0,0.0,Утримання
2026-01-30,146.40249633789062,149.6417099112771,145.5190812622881,147.72763392900075,1274886,153.21465530395508,,0,0.0,Утримання
2026-02-02,147.3840789794922,150.7214565235585,146.8442225185419,146.94237143066619,694808,152.24534606933594,,0,0.0,Утримання
2026-02-03,146.25526428222656,148.90552446495386,144.7338139065682,148.2184221920551,720016,151.52143173217775,,0,0.0,Утримання
2026-02-04,149.1509246826172,150.47606231151175,147.08961778820054,147.08961778820054,529047,151.0797218322754,,0,0.0,Утримання
2026-02-05,149.05276489257812,151.06498969505677,147.08960705390186,149.9852618704082,567453,150.41470260620116,,0,0.0,Утримання
2026-02-06,150.0343475341797,150.2306603273766,145.96078593124037,148.0221077040729,489680,149.7374137878418,,0,0.0,Утримання
2026-02-09,150.77053833007812,151.31039479053285,150.03435409014162,150.18158494704625,405707,149.14601364135743,,0,0.0,Утримання
2026-02-10,153.0281524658203,154.30420809762822,151.75211181171858,152.3410501956795,493574,148.809822845459,,0,0.0,Утримання
2026-02-11,150.9668426513672,154.8931583771364,150.9668426513672,152.29196522219078,612664,148.4981719970703,,0,0.0,Утримання
2026-02-12,150.72145080566406,152.93000344371535,150.18157938748806,150.18157938748806,547296,148.06627731323243,,0,0.0,Утримання
2026-02-13,152.0956573486328,152.93000545841525,150.13249942228012,150.2306633096803,592744,147.82579040527344,,0,0.0,Утримання
2026-02-16,151.2122344970703,152.78275177076796,151.2122344970703,152.19381340977094,358746,147.9484878540039,,0,0.0,Утримання
2026-02-17,153.56802368164062,153.8134184190602,150.42697403821106,150.42697403821106,420952,148.11781005859376,,0,0.0,Утримання
2026-02-18,154.156982421875,154.54960802436466,151.9484297080307,153.56802904043386,490260,148.34357376098632,,0,0.0,Утримання
2026-02-19,152.39013671875,155.28579171561003,152.39013671875,153.6171104443438,506507,148.48099517822266,,0,0.0,Утримання
2026-02-20,155.77658081054688,158.0342154554518,152.43921827648333,152.88092582103488,779519,149.21472549438477,,0,0.0,Утримання
2026-02-23,155.6784210205078,157.9360405299429,154.69684211111672,155.1385496248016,711587,149.78649520874023,,0,0.0,Утримання
2026-02-24,157.2489471435547,159.50658175782206,155.18764030438513,155.18764030438513,671930,150.4318832397461,,0,0.0,Утримання
2026-02-25,155.58026123046875,158.86855665449795,154.99130787826158,158.32868524459235,564134,151.1165344238281,,0,0.0,Утримання
2026-02-26,159.50657653808594,160.63538631942697,155.82565554105318,155.92381942538975,602345,152.04903411865234,,0,0.0,Утримання
2026-02-27,155.28578186035156,160.340922275596,154.74591045981208,159.40841032116157,1259366,152.4931983947754,,0,0.0,Утримання
2026-03-02,148.56198120117188,152.24290229161016,147.58040224372166,148.80737594053443,954135,152.55209350585938,,0,0.0,Утримання
2026-03-03,144.39027404785156,147.9730313362197,142.81974168769463,146.84422149953016,1285406,152.45884399414064,,0,0.0,Утримання
2026-03-04,139.18789672851562,144.09579142996043,132.36592608904857,143.3596072247437,2953474,151.96069259643554,,0,0.0,Утримання
2026-03-05,142.42710876464844,146.35342448549108,137.1756554969391,137.61736301999272,1499845,151.62940979003906,,0,0.0,Утримання
